donor_category	donor_id	donor_name	source_url	country_code	project_name	is_loan	amount_m	currency	amount_m_usd	objectives	main_components	start_date	start_ut	end_date	end_ut	duration	duration_unit	duration_unit_ticks	implementing_agency	executing_agency	Project Name	Loan / Grant	Amount (USD)	Objective/s	Main Component/s	Commencement Date	Duration	Implementing Agency	Executing Agency
bilateral	10	EXIM Bank of India	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=10&today=2022-03-14&Itemid=321&lang=en	IN	Line of Credit Facility from Government of India USD 167.4 Mn	True	167.4	USD	167.4		Rehabilitation of Railway line from Kaluthara to Matara; Purchasing of Locomotives and DMUs for Sri Lanka Railways	2008-07-28	1217203200						Ministry of Transport & Civil Aviation.	Sri Lanka Railways	Line of Credit Facility from Government of India USD 167.4 Mn	Loan	USD 167.4  Million		Rehabilitation of Railway line from Kaluthara to Matara; Purchasing of Locomotives and DMUs for Sri Lanka Railways	2008-07-28		Ministry of Transport & Civil Aviation.	Sri Lanka Railways
multilateral	7	World Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=2&searchby=donor_type&donor_id=7&today=2022-03-14&Itemid=322&lang=en		Water Supply and Sanitation Improvement Project (P147827)	True	165.0	USD	165.0	Strengthen the capacity of the Department of National Community Water Supply.	Water Supply and Sanitation Infrastructure in small towns , rural areas and the estate sector, emphasizing demand based approaches in rural areas and including hygiene education and awareness programs; Institutional Capacity Strengthening; Technical Assistance including Preparation of a comprehensive Water Supply and Sanitation Sector Program; Project Management Support	2015-09-24	1443052800						Ministry of Water Supply and Drainage	National Water Supply and Drainage Board	Water Supply and Sanitation Improvement Project (P147827)	Loan	USD 165.0 Mn	Strengthen the capacity of the Department of National Community Water Supply.	Water Supply and Sanitation Infrastructure in small towns , rural areas and the estate sector, emphasizing demand based approaches in rural areas and including hygiene education and awareness programs; Institutional Capacity Strengthening; Technical Assistance including Preparation of a comprehensive Water Supply and Sanitation Sector Program; Project Management Support	2015-09-24		Ministry of Water Supply and Drainage	National Water Supply and Drainage Board
bilateral	10	EXIM Bank of India	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=10&today=2022-03-14&Itemid=321&lang=en	IN	Implementation of Aluthgama, Mathugama and Agalawatta Integrated Water Supply Project	True	164.9	USD	164.9			2016-03-08	1457395200			4.0	year	126230400.0	National Water Supply & Drainage Board	Ministry of City Planning & Water Supply	Implementation of Aluthgama, Mathugama and Agalawatta Integrated Water Supply Project	Loan	USD 164.9 Million			2016-03-08	4 Years	National Water Supply & Drainage Board	Ministry of City Planning & Water Supply
multilateral	1	Russia, Australia & West Countries	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=2&searchby=donor_type&donor_id=1&today=2022-03-14&Itemid=322&lang=en	AU	Implementation of Greater Matale Water Supply Project	True	147.22	EUR	160.46980000000002	To enhance the existing capacity and bring the drinking water quality standards to an acceptable level, and; Expand the water distribution network in Matale District.	Construction / modernization of Matale, Ukuwela, Rajjamanna and Rattota water treatment plants at capacity of 30,000, 18,000, 18,000 and 9,000 m3/day respectively.; Construction of 11 water reservoirs.; Construction of 42.9 k.m. long main transmission line.; Laying of 392 k.m. long distribution pipe line.	2017-03-31	1490918400			3.0	year	94672800.0	Ministry of City Planning and Water Supply	National Water Supply and Drainage Board	Implementation of Greater Matale Water Supply Project	Loan	Euro 147.22 Mn	To enhance the existing capacity and bring the drinking water quality standards to an acceptable level, and; Expand the water distribution network in Matale District.	Construction / modernization of Matale, Ukuwela, Rajjamanna and Rattota water treatment plants at capacity of 30,000, 18,000, 18,000 and 9,000 m3/day respectively.; Construction of 11 water reservoirs.; Construction of 42.9 k.m. long main transmission line.; Laying of 392 k.m. long distribution pipe line.	2017-03-31	3 Years	Ministry of City Planning and Water Supply	National Water Supply and Drainage Board
bilateral	30	Credit Agricole Corporate & Investment Bank of France	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=30&today=2022-03-14&Itemid=321&lang=en	FR	Implementation of Greater Matale Water Supply Project	True	147.13	EUR	160.3717			2016-04-25	1461542400						National Water Supply and Drainage Board	Ministry of City Planning and Water Supply	Implementation of Greater Matale Water Supply Project	Loan	Euro 147,130,000			2016-04-25		National Water Supply and Drainage Board	Ministry of City Planning and Water Supply
bilateral	4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	CN	Hambantota Port Development Phase I for Ancillary Works & Supply of Equipment Project	True	155.0	USD	155.0	Project will envisages economic & social benefits as it will generate direct income & direct & indirect employment opportunities in the area which will contribute to reduce regional income disparities & poverty.	Deepening the harbor basin for additional 1m depth; Dredging for approaching channel; Additional work of oil terminal; breakwater & revetment modification & handling facilities; New administration & services building; change specification of navigational aid & price escalation	2013-04-24	1366761600						Sri Lanka Ports Authority	Ministry of Ports & Shipping	Hambantota Port Development Phase I for Ancillary Works & Supply of Equipment Project	Loan	USD 155 Mn	Project will envisages economic & social benefits as it will generate direct income & direct & indirect employment opportunities in the area which will contribute to reduce regional income disparities & poverty.	Deepening the harbor basin for additional 1m depth; Dredging for approaching channel; Additional work of oil terminal; breakwater & revetment modification & handling facilities; New administration & services building; change specification of navigational aid & price escalation	2013-04-24		Sri Lanka Ports Authority	Ministry of Ports & Shipping
bilateral	4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	CN	Puttalam Coal Power I & II	False	155.0	USD	155.0	The project aims the national importance to growing electricity demand in the country at a minimum cost to the economy by reducing the high reliance thermal power generation.	Installation of a 300MW Coal Power Plant; Jetty for coal handling; Transmission line from  Norochcholai to Veyangoda & substation at  Veyangoda; Establish two power plants with a capacity of 300MW; A transmission line from Norochcholai to Anuradhapura; New substations at Chilaw and Anuradhapura; Construct the Expansion of coal handling port facilities and employees’ housing	2006-09-08	1157673600						Ceylon Electricity Board	Ministry of Power & Renewable Energy	Puttalam Coal Power I & II	Loan (03 loans)	USD 155 Mn, USD 300 Mn, USD 891 Mn	The project aims the national importance to growing electricity demand in the country at a minimum cost to the economy by reducing the high reliance thermal power generation.	Installation of a 300MW Coal Power Plant; Jetty for coal handling; Transmission line from  Norochcholai to Veyangoda & substation at  Veyangoda; Establish two power plants with a capacity of 300MW; A transmission line from Norochcholai to Anuradhapura; New substations at Chilaw and Anuradhapura; Construct the Expansion of coal handling port facilities and employees’ housing	2006-09-08		Ceylon Electricity Board	Ministry of Power & Renewable Energy
bilateral	12	China Development Bank (CDB)	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=12&today=2022-03-14&Itemid=321&lang=en	CN	Rehabililitation & improvement of Priority Road Projects - 1	True	152.8	USD	152.8	The project would provide an efficient national roads system that will contribute to lower transportation costs & improve the intergration of all parts of the country.	C1A (I) - Beliatta Tangalle Road - 7.47 km; C1A (II) - Bopale - Kiribbanara - Uadamauara Road - 8.5 km; C1A (III) - Flyover at Siribopura Junction; C2A - Pelawatta Kankotiyawatta Thiniyawala Morawaka Road - 47 km; C3 - Thiruwanaketiya Agalawatta Road (0 - 033.45km ); C6A - Kandy - Mahiyangana- Padiyathalawa Road - 20.5 km; C8 - Kalkudah Road - 5.63 km; C8 - Kalkudah Valachchenai Road - 4.42 km; C11 - Paranthan Mullaitivu Road - 52 km	2010-12-16	1292457600						Road Development Authority	Ministry of Higher Education & Highways	Rehabililitation & improvement of Priority Road Projects - 1	Loan	USD 152.8 Mn	The project would provide an efficient national roads system that will contribute to lower transportation costs & improve the intergration of all parts of the country.	C1A (I) - Beliatta Tangalle Road - 7.47 km; C1A (II) - Bopale - Kiribbanara - Uadamauara Road - 8.5 km; C1A (III) - Flyover at Siribopura Junction; C2A - Pelawatta Kankotiyawatta Thiniyawala Morawaka Road - 47 km; C3 - Thiruwanaketiya Agalawatta Road (0 - 033.45km ); C6A - Kandy - Mahiyangana- Padiyathalawa Road - 20.5 km; C8 - Kalkudah Road - 5.63 km; C8 - Kalkudah Valachchenai Road - 4.42 km; C11 - Paranthan Mullaitivu Road - 52 km	2010-12-16		Road Development Authority	Ministry of Higher Education & Highways
multilateral	2	Asian Development Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=2&searchby=donor_type&donor_id=2&today=2022-03-14&Itemid=322&lang=en		Green Power Development and Energy Efficiency Improvement Investment Program - Tranche 1	True	150.0	USD	150.0	To increase access to clean and reliable power supply by enhancing clean power generation, system efficiency and reliability. The program will support development of hydropower generation and power transmission infrastructure.	Construction of the 30 MW, run-of-river hydropower plant at Moragolla; Construction of four new grid substations and associated facilities at Kerewalapitiya (220/33 kV), Kappalturai (220/132/33 kV), Kalutara and Kesbewa (both 132/33 kV) and augmentation of Katunayake and old Anuradhapura 132/33 kV grid substations in Western, Eastern and North Central provinces; Construction of 33 kV lines and gantries at around Vavunativu and Madampe in Eastern and North Western provinces; Demand Side Management (DSM) pilot subprojects in Colombo under the physical investments.	2014-11-20	1416441600						Ceylon Electricity Board	Ministry of Power & Renewable Energy	Green Power Development and Energy Efficiency Improvement Investment Program - Tranche 1	Loan	USD 150 Mn	To increase access to clean and reliable power supply by enhancing clean power generation, system efficiency and reliability. The program will support development of hydropower generation and power transmission infrastructure.	Construction of the 30 MW, run-of-river hydropower plant at Moragolla; Construction of four new grid substations and associated facilities at Kerewalapitiya (220/33 kV), Kappalturai (220/132/33 kV), Kalutara and Kesbewa (both 132/33 kV) and augmentation of Katunayake and old Anuradhapura 132/33 kV grid substations in Western, Eastern and North Central provinces; Construction of 33 kV lines and gantries at around Vavunativu and Madampe in Eastern and North Western provinces; Demand Side Management (DSM) pilot subprojects in Colombo under the physical investments.	2014-11-20		Ceylon Electricity Board	Ministry of Power & Renewable Energy
multilateral	2	Asian Development Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=2&searchby=donor_type&donor_id=2&today=2022-03-14&Itemid=322&lang=en		Green Power Development and Energy Efficiency Improvement Investment Program - Tranche 2	True	150.0	USD	150.0	To increase access to clean and reliable power supply by enhancing clean power generation, system efficiency and reliability.	"Transmission infrastructure enhancement;

Construction of new Polpitiya – Hambantota Transmission Line with Hambantota Grid Substation Development
Mannar – Nadukuda 220 KV Transmission Development
Construction of Colombo B 1312/11 kv Grid Substation
Augmentation of Grid Substations (Kotugoda,Biyagama and Kolonnawa)
Construction of Padukka –Horana 132 kv Transmission Line
Second Circuit Stringing of Habarana – Valachchenai 132 kv Transmission Line
Construction of Biyagama 220/ 33 kv Grid Substation
Augmentation of Dehewala  Grid Substations.
Augmentation of  Madampe 220/ 33 kv Grid Substation; Construction of new Polpitiya – Hambantota Transmission Line with Hambantota Grid Substation Development; Mannar – Nadukuda 220 KV Transmission Development; Construction of Colombo B 1312/11 kv Grid Substation; Augmentation of Grid Substations (Kotugoda,Biyagama and Kolonnawa); Construction of Padukka –Horana 132 kv Transmission Line; Second Circuit Stringing of Habarana – Valachchenai 132 kv Transmission Line; Construction of Biyagama 220/ 33 kv Grid Substation; Augmentation of Dehewala  Grid Substations.; Augmentation of  Madampe 220/ 33 kv Grid Substation; Efficiency improvement of medium-voltage network

Construction of 33 kv Tower Lines, including:

23 Km tower line from  old Anuradhapura  Grid Substation to Mahailluppallama Gantry
4 km  tower line from Storefield Ganary to Ethgala Gantry
8 km  tower line from  Kappalthurai Grid Substation to Chinabay Gantry
11 km  tower line from  Embilipitiya Grid Substation to Weniwelara Gantry
14 km tower line from to Mathugama  Grid Substation to Bentota Primary Substation


Construction of 33 kv Gantries,including :
Two Section Single Busbar Gantry Gantry at Mahailuppallama, Ethgala, Chinabay and Weniwelara
Augmentation of 33kv Primary Substations, including :Primary Substation at Ethulkotte and  Beligaha, to cater for increasing demend and improve reliability and operational flexibilities in the Western and Southern Provinces
Construction of the new 33/11 kv Primary Substation at Rattanapitiya, to accommodate the anticipated load growth in the LECO loads,WPS-1 and WPS -11.; Construction of 33 kv Tower Lines, including:

23 Km tower line from  old Anuradhapura  Grid Substation to Mahailluppallama Gantry
4 km  tower line from Storefield Ganary to Ethgala Gantry
8 km  tower line from  Kappalthurai Grid Substation to Chinabay Gantry
11 km  tower line from  Embilipitiya Grid Substation to Weniwelara Gantry
14 km tower line from to Mathugama  Grid Substation to Bentota Primary Substation; 23 Km tower line from  old Anuradhapura  Grid Substation to Mahailluppallama Gantry; 4 km  tower line from Storefield Ganary to Ethgala Gantry; 8 km  tower line from  Kappalthurai Grid Substation to Chinabay Gantry; 11 km  tower line from  Embilipitiya Grid Substation to Weniwelara Gantry; 14 km tower line from to Mathugama  Grid Substation to Bentota Primary Substation; Construction of 33 kv Gantries,including :; Two Section Single Busbar Gantry Gantry at Mahailuppallama, Ethgala, Chinabay and Weniwelara; Augmentation of 33kv Primary Substations, including :Primary Substation at Ethulkotte and  Beligaha, to cater for increasing demend and improve reliability and operational flexibilities in the Western and Southern Provinces; Construction of the new 33/11 kv Primary Substation at Rattanapitiya, to accommodate the anticipated load growth in the LECO loads,WPS-1 and WPS -11.; Demand-side management improvement for energy efficiency through development of a smart grid and metering pilot subproject.; Consultancy services for the pilot project of implementation of smart grid metering project."	2016-12-27	1482796800						Ceylon Electricity Board	Ministry of Power & Renewable Energy	Green Power Development and Energy Efficiency Improvement Investment Program - Tranche 2	Loan	USD 150 Mn	To increase access to clean and reliable power supply by enhancing clean power generation, system efficiency and reliability.	"Transmission infrastructure enhancement;

Construction of new Polpitiya – Hambantota Transmission Line with Hambantota Grid Substation Development
Mannar – Nadukuda 220 KV Transmission Development
Construction of Colombo B 1312/11 kv Grid Substation
Augmentation of Grid Substations (Kotugoda,Biyagama and Kolonnawa)
Construction of Padukka –Horana 132 kv Transmission Line
Second Circuit Stringing of Habarana – Valachchenai 132 kv Transmission Line
Construction of Biyagama 220/ 33 kv Grid Substation
Augmentation of Dehewala  Grid Substations.
Augmentation of  Madampe 220/ 33 kv Grid Substation; Construction of new Polpitiya – Hambantota Transmission Line with Hambantota Grid Substation Development; Mannar – Nadukuda 220 KV Transmission Development; Construction of Colombo B 1312/11 kv Grid Substation; Augmentation of Grid Substations (Kotugoda,Biyagama and Kolonnawa); Construction of Padukka –Horana 132 kv Transmission Line; Second Circuit Stringing of Habarana – Valachchenai 132 kv Transmission Line; Construction of Biyagama 220/ 33 kv Grid Substation; Augmentation of Dehewala  Grid Substations.; Augmentation of  Madampe 220/ 33 kv Grid Substation; Efficiency improvement of medium-voltage network

Construction of 33 kv Tower Lines, including:

23 Km tower line from  old Anuradhapura  Grid Substation to Mahailluppallama Gantry
4 km  tower line from Storefield Ganary to Ethgala Gantry
8 km  tower line from  Kappalthurai Grid Substation to Chinabay Gantry
11 km  tower line from  Embilipitiya Grid Substation to Weniwelara Gantry
14 km tower line from to Mathugama  Grid Substation to Bentota Primary Substation


Construction of 33 kv Gantries,including :
Two Section Single Busbar Gantry Gantry at Mahailuppallama, Ethgala, Chinabay and Weniwelara
Augmentation of 33kv Primary Substations, including :Primary Substation at Ethulkotte and  Beligaha, to cater for increasing demend and improve reliability and operational flexibilities in the Western and Southern Provinces
Construction of the new 33/11 kv Primary Substation at Rattanapitiya, to accommodate the anticipated load growth in the LECO loads,WPS-1 and WPS -11.; Construction of 33 kv Tower Lines, including:

23 Km tower line from  old Anuradhapura  Grid Substation to Mahailluppallama Gantry
4 km  tower line from Storefield Ganary to Ethgala Gantry
8 km  tower line from  Kappalthurai Grid Substation to Chinabay Gantry
11 km  tower line from  Embilipitiya Grid Substation to Weniwelara Gantry
14 km tower line from to Mathugama  Grid Substation to Bentota Primary Substation; 23 Km tower line from  old Anuradhapura  Grid Substation to Mahailluppallama Gantry; 4 km  tower line from Storefield Ganary to Ethgala Gantry; 8 km  tower line from  Kappalthurai Grid Substation to Chinabay Gantry; 11 km  tower line from  Embilipitiya Grid Substation to Weniwelara Gantry; 14 km tower line from to Mathugama  Grid Substation to Bentota Primary Substation; Construction of 33 kv Gantries,including :; Two Section Single Busbar Gantry Gantry at Mahailuppallama, Ethgala, Chinabay and Weniwelara; Augmentation of 33kv Primary Substations, including :Primary Substation at Ethulkotte and  Beligaha, to cater for increasing demend and improve reliability and operational flexibilities in the Western and Southern Provinces; Construction of the new 33/11 kv Primary Substation at Rattanapitiya, to accommodate the anticipated load growth in the LECO loads,WPS-1 and WPS -11.; Demand-side management improvement for energy efficiency through development of a smart grid and metering pilot subproject.; Consultancy services for the pilot project of implementation of smart grid metering project."	2016-12-27		Ceylon Electricity Board	Ministry of Power & Renewable Energy
multilateral	2	Asian Development Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=2&searchby=donor_type&donor_id=2&today=2022-03-14&Itemid=322&lang=en		Mahaweli Water Security Investment Program - Tranche 1	True	150.0	USD	150.0	To maximize the productivity of Mahaweli River Basin water resources by transferring available water to North Western Province, North Central Province and Northern Provinces for Irrigation, Drinking and Commercial purposes.	Construction of 9 km Kalu Ganga-Moragahakanda Transfer Canal (including two tunnels); Construction of 65.5 km Upper Elahera Canal that connects the Moragahakanda reservoir to the existing reservoirs Huruluwewa, Manankattiya, Eruwewa and Mahakanadarawa (including in total 28 km of tunnels); Construction of 96 km of new and upgraded canals, including a new 940 m tunnel and two new 25 m tall dams impounding the Mahakithula and Mahakirula Reservoirs; add upstream storage by heightening the headwork’s, construct new automatic downstream-controlled intake gates to the left bank canal; construct new emergency spill weirs to both left and right bank canals; rehabilitate the 74 km Minipe Left Bank Canal, including regulator and spill structures	2015-09-07	1441584000						Ministry of Mahaweli Development & Environment	Ministry of Mahaweli Development & Environment	Mahaweli Water Security Investment Program - Tranche 1	Loan	USD 150 Mn	To maximize the productivity of Mahaweli River Basin water resources by transferring available water to North Western Province, North Central Province and Northern Provinces for Irrigation, Drinking and Commercial purposes.	Construction of 9 km Kalu Ganga-Moragahakanda Transfer Canal (including two tunnels); Construction of 65.5 km Upper Elahera Canal that connects the Moragahakanda reservoir to the existing reservoirs Huruluwewa, Manankattiya, Eruwewa and Mahakanadarawa (including in total 28 km of tunnels); Construction of 96 km of new and upgraded canals, including a new 940 m tunnel and two new 25 m tall dams impounding the Mahakithula and Mahakirula Reservoirs; add upstream storage by heightening the headwork’s, construct new automatic downstream-controlled intake gates to the left bank canal; construct new emergency spill weirs to both left and right bank canals; rehabilitate the 74 km Minipe Left Bank Canal, including regulator and spill structures	2015-09-07		Ministry of Mahaweli Development & Environment	Ministry of Mahaweli Development & Environment
bilateral	4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	CN	Thalpitigala Reservoir Project	True	147.9	USD	147.9		Provide irrigation water to new and existing lands around 1400 hectares in the area by constructing upstream of the Battmedilla anicut in the Baudlla district.; Provide safe drinking water facilities to Wasanagama, Madulla, Thetilla and Beramada villages in the Kandaketiya Divisional Secretary's Division.; Construct a hydro power station with a capacity of 15 MW that will generate 51 GWh of hydro power annually to feed the National Grid.	2017-12-22	1513900800			5.0	year	157788000.0	Ministry of Irrigation and Water Resources Management	Ministry of Irrigation and Water Resources Management	Thalpitigala Reservoir Project	Loan	USD 147.9 mn		Provide irrigation water to new and existing lands around 1400 hectares in the area by constructing upstream of the Battmedilla anicut in the Baudlla district.; Provide safe drinking water facilities to Wasanagama, Madulla, Thetilla and Beramada villages in the Kandaketiya Divisional Secretary's Division.; Construct a hydro power station with a capacity of 15 MW that will generate 51 GWh of hydro power annually to feed the National Grid.	2017-12-22	5 Years	Ministry of Irrigation and Water Resources Management	Ministry of Irrigation and Water Resources Management
multilateral	7	World Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=2&searchby=donor_type&donor_id=7&today=2022-03-14&Itemid=322&lang=en		Strategic Cities Developments Projects	True	147.0	USD	147.0	To improve selected urban services and public open spaces in the participating city regions of Sri Lanka.	Kandy city region urban interventions; Galle city region urban interventions; Jaffna city region urban interventions; Implementation support	2014-05-01	1398902400						Ministry of Megapolis and Western Development	Urban Development Authorities, Irrigation Departments, Road Development Authorities and Coastal Conservation Departments	Strategic Cities Developments Projects	Loan	USD 147 Mn	To improve selected urban services and public open spaces in the participating city regions of Sri Lanka.	Kandy city region urban interventions; Galle city region urban interventions; Jaffna city region urban interventions; Implementation support	2014-05-01		Ministry of Megapolis and Western Development	Urban Development Authorities, Irrigation Departments, Road Development Authorities and Coastal Conservation Departments
multilateral	2	Asian Development Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=2&searchby=donor_type&donor_id=2&today=2022-03-14&Itemid=322&lang=en		Secondary Towns and Rural Community-Based Water Supply and Sanitation Project + Additional Financing	True	144.9	USD	144.9			2003-08-18	1061164800						National Water Supply and Drainage Board	Ministry of Urban Development and Water Supply	Secondary Towns and Rural Community-Based Water Supply and Sanitation Project + Additional Financing	Loan	USD 144.9 Mn			2003-08-18		National Water Supply and Drainage Board	Ministry of Urban Development and Water Supply
bilateral	4	China - EXIM Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=4&today=2022-03-14&Itemid=321&lang=en	CN	Southern Transport Development Project	False	138.0	USD	138.0	The objective of the project is to assist development of the economic activities of the Southern Province by encouraging growth in industries, tourism, fisheries & agriculture sectors.	Highway section from Pinnaduwa to Kodagoda (30 + 800Km to 45 + 000 Km); Highway Section from Kodagoda to Godagama (45 + 000Km to 61 + 050Km) and balance work in Galle Port Access Road	2011-02-17	1297900800						Road Development Authority	Ministry of Higher Education & Highways	Southern Transport Development Project	Loan - (02 Loans)	USD 138 Mn	The objective of the project is to assist development of the economic activities of the Southern Province by encouraging growth in industries, tourism, fisheries & agriculture sectors.	Highway section from Pinnaduwa to Kodagoda (30 + 800Km to 45 + 000 Km); Highway Section from Kodagoda to Godagama (45 + 000Km to 61 + 050Km) and balance work in Galle Port Access Road	2011-02-17		Road Development Authority	Ministry of Higher Education & Highways
bilateral	17	East Asia - Japan	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=1&searchby=donor_type&donor_id=17&today=2022-03-14&Itemid=321&lang=en	JP	Greater Colombo Transmission & Distribution Loss Reduction Project	True	15941.0	JPY	135.4985	Construction of transmission & distribution network in the Greater Colombo area in order to strengthen transmission & distribution capacity and reduce transmission losses thereby contributing to economic development.	Construction of 4 Grid Substations &  Augmentation of 2 Grid Substations in Colombo; Construction of Transmission & Distribution Cables; Purchasing of specialized vehicles for Distribution works (Insulated Bucket Trucks, Pole Installation Trucks, Digger, Cargo Cranes)	2013-03-14	1363219200						Ceylon Electricity Board	Ministry of Power & Renewable Energy	Greater Colombo Transmission & Distribution Loss Reduction Project	Loan	JPY 15,941 Mn	Construction of transmission & distribution network in the Greater Colombo area in order to strengthen transmission & distribution capacity and reduce transmission losses thereby contributing to economic development.	Construction of 4 Grid Substations &  Augmentation of 2 Grid Substations in Colombo; Construction of Transmission & Distribution Cables; Purchasing of specialized vehicles for Distribution works (Insulated Bucket Trucks, Pole Installation Trucks, Digger, Cargo Cranes)	2013-03-14		Ceylon Electricity Board	Ministry of Power & Renewable Energy
multilateral	2	Asian Development Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=2&searchby=donor_type&donor_id=2&today=2022-03-14&Itemid=322&lang=en		Greater Colombo Water and Waste Water Management Investment Improvement Investment Program - Tranche 3	True	128.0	USD	128.0	Rehabilitating and expanding sewerage facilities in Colombo area	Rehabilitated and expansion of wastewater collection system and adding two wastewater treatment plants.; Strengthened institutional structure and capacity for Colombo Municipal to introduce sewage tariff and introduce the private and public participation.	2009-12-18	1261094400						National Water Supply & Drainage Board & Colombo Municipal Councils	Ministry of City Planning and Water Supply and Ministry of Provincial Councils and Local Government	Greater Colombo Water and Waste Water Management Investment Improvement Investment Program - Tranche 3	Loan	USD 128 Mn	Rehabilitating and expanding sewerage facilities in Colombo area	Rehabilitated and expansion of wastewater collection system and adding two wastewater treatment plants.; Strengthened institutional structure and capacity for Colombo Municipal to introduce sewage tariff and introduce the private and public participation.	2009-12-18		National Water Supply & Drainage Board & Colombo Municipal Councils	Ministry of City Planning and Water Supply and Ministry of Provincial Councils and Local Government
multilateral	7	World Bank	http://www.erd.gov.lk/index.php?option=com_rmobilization&view=resource_project&category_id=1&sub_category_id=2&searchby=donor_type&donor_id=7&today=2022-03-14&Itemid=322&lang=en		Transport Connectivity and Asset Management Project	True	125.0	USD	125.0	Strengthen the Road Development Authority’s capacity for asset management and improve the road service delivery on the selected corridor. The selected corridor means the road section from Ja - Ela to Chillaw on the A3 National Highway.	Institutional Strengthening and Capacity Building for Asset Management.; Piloting the principles of the Road Asset management principles.	2017-01-12	1484179200			10.0	year	315576000.0	Ministry of Higher Education and Highways	Road Development Authority	Transport Connectivity and Asset Management Project	Loan	USD 125.0 Mn	Strengthen the Road Development Authority’s capacity for asset management and improve the road service delivery on the selected corridor. The selected corridor means the road section from Ja - Ela to Chillaw on the A3 National Highway.	Institutional Strengthening and Capacity Building for Asset Management.; Piloting the principles of the Road Asset management principles.	2017-01-12	10 years (proposed)	Ministry of Higher Education and Highways	Road Development Authority
